Name,Value,Prop,ID,Points Totals,Points Per Game,Assists Totals,Assists Per Game,Rebounds Totals,Rebounds Per Game,Fantasy Score Totals,Fantasy Score Per Game,3-PT Made Totals,3-PT Made Per Game,Free Throws Made Totals,Free Throws Made Per Game,Blocks Totals,Blocks Per Game,Steals Totals,Steals Per Game,Personal Fouls Totals,Personal Fouls Per Game,Turnovers Totals,Turnovers Per Game,FG Attempted Totals,FG Attempted Per Game,Games Played Totals,Points Per L10,Assists Per L10,Rebounds Per L10,Fantasy Score Per L10,3-PT Made Per L10,Free Throws Made Per L10,Blocks Per L10,Steals Per L10,Personal Fouls Per L10,Turnovers Per L10,FG Attempted Per L10,Games Played Per L10,PTS+REB+AST,PTS+AST,PTS+REB,REB+AST,BLKS+STLS,PTS+REB+AST L10,PTS+AST L10,PTS+REB L10,REB+AST L10,BLKS+STLS L10
Aaron Gordon,0.5,3-PT Made,203932.0,1109.0,16.308823529411764,203.0,2.985294117647059,446.0,6.5588235294117645,2165.7,31.8485294117647,60.0,0.8823529411764706,191.0,2.8088235294117645,51.0,0.75,54.0,0.7941176470588235,129.0,1.8970588235294117,98.0,1.4411764705882353,761.0,11.191176470588236,68.0,13.875,3.375,6.125,30.7875,0.75,1.625,0.875,1.0,2.0,1.125,12.375,1.0,25.852941176470587,19.294117647058822,22.86764705882353,9.544117647058822,1.5441176470588234,23.375,17.25,20.0,9.5,1.875
Aaron Gordon,20.5,Pts+Rebs,203932.0,1109.0,16.308823529411764,203.0,2.985294117647059,446.0,6.5588235294117645,2165.7,31.8485294117647,60.0,0.8823529411764706,191.0,2.8088235294117645,51.0,0.75,54.0,0.7941176470588235,129.0,1.8970588235294117,98.0,1.4411764705882353,761.0,11.191176470588236,68.0,13.875,3.375,6.125,30.7875,0.75,1.625,0.875,1.0,2.0,1.125,12.375,1.0,25.852941176470587,19.294117647058822,22.86764705882353,9.544117647058822,1.5441176470588234,23.375,17.25,20.0,9.5,1.875
Aaron Gordon,22.5,Pts+Rebs+Asts,203932.0,1109.0,16.308823529411764,203.0,2.985294117647059,446.0,6.5588235294117645,2165.7,31.8485294117647,60.0,0.8823529411764706,191.0,2.8088235294117645,51.0,0.75,54.0,0.7941176470588235,129.0,1.8970588235294117,98.0,1.4411764705882353,761.0,11.191176470588236,68.0,13.875,3.375,6.125,30.7875,0.75,1.625,0.875,1.0,2.0,1.125,12.375,1.0,25.852941176470587,19.294117647058822,22.86764705882353,9.544117647058822,1.5441176470588234,23.375,17.25,20.0,9.5,1.875
Aaron Gordon,16.5,Pts+Asts,203932.0,1109.0,16.308823529411764,203.0,2.985294117647059,446.0,6.5588235294117645,2165.7,31.8485294117647,60.0,0.8823529411764706,191.0,2.8088235294117645,51.0,0.75,54.0,0.7941176470588235,129.0,1.8970588235294117,98.0,1.4411764705882353,761.0,11.191176470588236,68.0,13.875,3.375,6.125,30.7875,0.75,1.625,0.875,1.0,2.0,1.125,12.375,1.0,25.852941176470587,19.294117647058822,22.86764705882353,9.544117647058822,1.5441176470588234,23.375,17.25,20.0,9.5,1.875
Aaron Gordon,14.0,Points,203932.0,1109.0,16.308823529411764,203.0,2.985294117647059,446.0,6.5588235294117645,2165.7,31.8485294117647,60.0,0.8823529411764706,191.0,2.8088235294117645,51.0,0.75,54.0,0.7941176470588235,129.0,1.8970588235294117,98.0,1.4411764705882353,761.0,11.191176470588236,68.0,13.875,3.375,6.125,30.7875,0.75,1.625,0.875,1.0,2.0,1.125,12.375,1.0,25.852941176470587,19.294117647058822,22.86764705882353,9.544117647058822,1.5441176470588234,23.375,17.25,20.0,9.5,1.875
Aaron Gordon,6.0,Rebounds,203932.0,1109.0,16.308823529411764,203.0,2.985294117647059,446.0,6.5588235294117645,2165.7,31.8485294117647,60.0,0.8823529411764706,191.0,2.8088235294117645,51.0,0.75,54.0,0.7941176470588235,129.0,1.8970588235294117,98.0,1.4411764705882353,761.0,11.191176470588236,68.0,13.875,3.375,6.125,30.7875,0.75,1.625,0.875,1.0,2.0,1.125,12.375,1.0,25.852941176470587,19.294117647058822,22.86764705882353,9.544117647058822,1.5441176470588234,23.375,17.25,20.0,9.5,1.875
Aaron Gordon,8.5,Rebs+Asts,203932.0,1109.0,16.308823529411764,203.0,2.985294117647059,446.0,6.5588235294117645,2165.7,31.8485294117647,60.0,0.8823529411764706,191.0,2.8088235294117645,51.0,0.75,54.0,0.7941176470588235,129.0,1.8970588235294117,98.0,1.4411764705882353,761.0,11.191176470588236,68.0,13.875,3.375,6.125,30.7875,0.75,1.625,0.875,1.0,2.0,1.125,12.375,1.0,25.852941176470587,19.294117647058822,22.86764705882353,9.544117647058822,1.5441176470588234,23.375,17.25,20.0,9.5,1.875
Al Horford,2.0,Personal Fouls,201143.0,616.0,9.777777777777779,189.0,3.0,390.0,6.190476190476191,1603.5,25.452380952380953,145.0,2.3015873015873014,15.0,0.23809523809523808,61.0,0.9682539682539683,30.0,0.47619047619047616,121.0,1.9206349206349207,37.0,0.5873015873015873,479.0,7.603174603174603,63.0,9.142857142857142,3.2857142857142856,6.285714285714286,25.900000000000002,2.5714285714285716,0.0,1.2857142857142858,0.42857142857142855,1.8571428571428572,0.8571428571428571,8.142857142857142,1.0,18.96825396825397,12.777777777777779,15.968253968253968,9.19047619047619,1.4444444444444444,18.71428571428571,12.428571428571427,15.428571428571427,9.571428571428571,1.7142857142857144
Al Horford,11.5,Pts+Asts,201143.0,616.0,9.777777777777779,189.0,3.0,390.0,6.190476190476191,1603.5,25.452380952380953,145.0,2.3015873015873014,15.0,0.23809523809523808,61.0,0.9682539682539683,30.0,0.47619047619047616,121.0,1.9206349206349207,37.0,0.5873015873015873,479.0,7.603174603174603,63.0,9.142857142857142,3.2857142857142856,6.285714285714286,25.900000000000002,2.5714285714285716,0.0,1.2857142857142858,0.42857142857142855,1.8571428571428572,0.8571428571428571,8.142857142857142,1.0,18.96825396825397,12.777777777777779,15.968253968253968,9.19047619047619,1.4444444444444444,18.71428571428571,12.428571428571427,15.428571428571427,9.571428571428571,1.7142857142857144
Al Horford,6.0,Rebounds,201143.0,616.0,9.777777777777779,189.0,3.0,390.0,6.190476190476191,1603.5,25.452380952380953,145.0,2.3015873015873014,15.0,0.23809523809523808,61.0,0.9682539682539683,30.0,0.47619047619047616,121.0,1.9206349206349207,37.0,0.5873015873015873,479.0,7.603174603174603,63.0,9.142857142857142,3.2857142857142856,6.285714285714286,25.900000000000002,2.5714285714285716,0.0,1.2857142857142858,0.42857142857142855,1.8571428571428572,0.8571428571428571,8.142857142857142,1.0,18.96825396825397,12.777777777777779,15.968253968253968,9.19047619047619,1.4444444444444444,18.71428571428571,12.428571428571427,15.428571428571427,9.571428571428571,1.7142857142857144
