,Game_ID,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK,PTS+REB,PTS+AST,PTS+REB+AST,REB+AST,BLKS+STLS
0,0021801220,23,11,2,5,6,1,7,0,28,34,39,16,2
1,0021801181,22,6,3,7,2,1,4,0,29,28,35,13,3
2,0021801168,33,12,1,7,2,2,6,0,40,45,52,19,1
3,0021801162,15,6,1,1,0,0,6,0,16,21,22,7,1
4,0021801145,12,16,2,5,1,2,9,0,17,28,33,21,2
5,0021801131,26,7,1,9,3,1,8,0,35,33,42,16,1
6,0021801113,33,12,1,1,1,5,13,0,34,45,46,13,1
7,0021801088,32,11,0,6,6,4,9,1,38,43,49,17,1
8,0021801076,23,11,0,2,5,1,6,0,25,34,36,13,0
9,0021801060,21,12,1,4,7,2,5,0,25,33,37,16,1
10,0021801046,20,5,1,6,2,0,5,0,26,25,31,11,1
11,0021801034,26,4,2,4,6,5,8,0,30,30,34,8,2
12,0021801016,22,8,1,3,0,3,5,0,25,30,33,11,1
13,0021800995,10,10,0,5,2,0,4,0,15,20,25,15,0
14,0021800987,23,11,1,10,2,2,4,0,33,34,44,21,1
15,0021800968,22,4,1,6,2,1,7,0,28,26,32,10,1
16,0021800953,14,8,1,3,8,0,4,0,17,22,25,11,1
17,0021800946,18,5,0,2,2,3,4,0,20,23,25,7,0
18,0021800928,49,16,1,8,9,6,13,1,57,65,73,24,2
19,0021800912,36,10,0,8,3,2,5,0,44,46,54,18,0
20,0021800903,36,8,0,1,4,8,12,0,37,44,45,9,0
21,0021800883,23,8,1,2,2,2,6,0,25,31,33,10,1
22,0021800877,30,10,0,3,4,5,11,0,33,40,43,13,0
23,0021800865,16,11,2,6,3,1,6,0,22,27,33,17,2
24,0021800848,22,14,1,6,6,3,9,1,28,36,42,20,2
25,0021800837,13,7,0,5,3,2,4,0,18,20,25,12,0
26,0021800827,20,11,2,1,4,4,6,0,21,31,32,12,2
27,0021800813,19,5,1,5,4,1,2,0,24,24,29,10,1
28,0021800791,10,10,0,4,1,1,6,0,14,20,24,14,0
29,0021800784,27,8,0,7,4,4,10,0,34,35,42,15,0
30,0021800773,28,9,1,3,2,5,10,0,31,37,40,12,1
31,0021800762,23,8,1,1,5,4,9,0,24,31,32,9,1
32,0021800748,26,8,0,4,1,2,7,0,30,34,38,12,0
33,0021800734,30,8,1,2,4,3,6,1,32,38,40,10,2
34,0021800712,5,12,1,7,3,1,7,0,12,17,24,19,1
35,0021800695,21,6,0,3,4,0,3,0,24,27,30,9,0
36,0021800683,16,7,1,1,6,2,9,0,17,23,24,8,1
37,0021800653,24,11,0,6,7,4,9,0,30,35,41,17,0
38,0021800640,26,4,0,10,4,1,5,0,36,30,40,14,0
39,0021800621,18,5,2,4,4,3,8,0,22,23,27,9,2
40,0021800609,17,7,2,2,6,2,9,0,19,24,26,9,2
41,0021800602,19,4,2,5,3,1,5,0,24,23,28,9,2
42,0021800587,19,2,1,2,4,3,3,0,21,21,23,4,1
43,0021800572,13,10,3,2,2,2,4,0,15,23,25,12,3
44,0021800556,5,9,0,3,4,1,2,1,8,14,17,12,1
45,0021800542,16,7,3,4,8,4,6,0,20,23,27,11,3
46,0021800529,21,9,1,3,3,2,6,0,24,30,33,12,1
47,0021800522,16,11,1,4,5,1,1,0,20,27,31,15,1
48,0021800504,17,9,0,2,3,2,2,0,19,26,28,11,0
49,0021800486,12,6,2,7,6,0,3,0,19,18,25,13,2
50,0021800472,15,10,1,3,2,0,0,0,18,25,28,13,1
51,0021800452,19,4,1,3,5,3,6,0,22,23,26,7,1
52,0021800436,13,10,1,2,3,1,2,0,15,23,25,12,1
53,0021800420,9,3,0,3,3,0,6,1,12,12,15,6,1
54,0021800412,24,10,2,0,2,2,6,0,24,34,34,10,2
55,0021800380,9,4,0,2,4,1,2,1,11,13,15,6,1
56,0021800357,14,5,2,2,6,1,4,0,16,19,21,7,2
57,0021800344,20,3,0,0,7,0,5,0,20,23,23,3,0
58,0021800325,9,8,0,4,2,0,3,0,13,17,21,12,0
59,0021800306,18,4,2,3,5,3,9,1,21,22,25,7,3
60,0021800302,17,10,1,5,3,2,5,1,22,27,32,15,2
61,0021800288,18,5,2,2,5,4,10,1,20,23,25,7,3
62,0021800268,5,2,0,0,3,0,5,1,5,7,7,2,1
63,0021800254,6,5,1,1,1,0,1,0,7,11,12,6,1
64,0021800243,25,17,0,3,6,1,5,0,28,42,45,20,0
65,0021800226,9,4,1,1,3,0,5,0,10,13,14,5,1
66,0021800214,6,5,1,2,5,0,4,0,8,11,13,7,1
67,0021800201,4,9,3,5,3,0,5,0,9,13,18,14,3
68,0021800189,20,12,1,2,4,4,8,1,22,32,34,14,2
69,0021800169,16,5,0,4,6,0,3,0,20,21,25,9,0
70,0021800155,15,8,0,5,2,1,7,0,20,23,28,13,0
71,0021800149,18,10,0,3,6,0,7,0,21,28,31,13,0
72,0021800128,24,15,0,6,5,2,8,1,30,39,45,21,1
73,0021800114,14,10,0,3,8,0,1,0,17,24,27,13,0
74,0021800097,24,4,0,1,3,3,4,0,25,28,29,5,0
75,0021800088,11,8,0,2,0,1,6,0,13,19,21,10,0
76,0021800076,13,4,2,3,5,0,6,0,16,17,20,7,2
77,0021800052,17,5,0,4,5,1,3,1,21,22,26,9,1
78,0021800036,35,11,1,2,1,6,14,0,37,46,48,13,1
79,0021800020,20,9,1,2,3,4,9,1,22,29,31,11,2
80,0021800007,14,5,0,6,4,1,5,0,20,19,25,11,0
