,Game_ID,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK,PTS+REB,PTS+AST,PTS+REB+AST,REB+AST,BLKS+STLS
0,0022001066,10,9,2,3,2,1,3,0,13,19,22,12,2
1,0022001049,18,7,0,0,1,0,5,0,18,25,25,7,0
2,0022001042,33,9,0,8,5,2,8,0,41,42,50,17,0
3,0022001026,36,9,0,6,6,1,7,0,42,45,51,15,0
4,0022001000,30,10,0,4,4,2,6,1,34,40,44,14,1
5,0022000992,16,12,1,2,1,0,3,0,18,28,30,14,1
6,0022000978,21,11,0,6,6,1,6,0,27,32,38,17,0
7,0022000959,33,7,2,3,4,4,8,0,36,40,43,10,2
8,0022000949,32,4,0,1,4,2,6,0,33,36,37,5,0
9,0022000886,20,14,4,2,1,1,4,0,22,34,36,16,4
10,0022000876,25,7,1,5,5,2,5,0,30,32,37,12,1
11,0022000861,34,11,2,5,2,3,9,0,39,45,50,16,2
12,0022000840,15,9,0,2,6,0,3,0,17,24,26,11,0
13,0022000791,42,9,0,8,4,1,6,0,50,51,59,17,0
14,0022000780,14,11,0,5,2,0,4,0,19,25,30,16,0
15,0022000770,30,12,0,1,3,6,7,0,31,42,43,13,0
16,0022000759,13,3,1,2,7,0,4,0,15,16,18,5,1
17,0022000735,28,12,1,2,7,2,2,0,30,40,42,14,1
18,0022000171,19,13,3,2,3,1,4,0,21,32,34,15,3
19,0022000705,21,7,2,5,7,3,7,0,26,28,33,12,2
20,0022000692,21,15,0,3,4,1,6,1,24,36,39,18,1
21,0022000677,29,9,1,3,3,1,7,0,32,38,41,12,1
22,0022000660,28,8,0,5,4,5,11,1,33,36,41,13,1
23,0022000640,14,11,1,3,2,0,7,0,17,25,28,14,1
24,0022000626,23,9,0,6,2,2,6,0,29,32,38,15,0
25,0022000613,13,14,1,3,5,1,5,0,16,27,30,17,1
26,0022000597,14,6,0,2,2,2,6,0,16,20,22,8,0
27,0022000590,28,9,1,1,4,5,10,0,29,37,38,10,1
28,0022000570,37,6,0,5,6,2,7,1,42,43,48,11,1
29,0022000544,32,8,2,4,2,4,7,0,36,40,44,12,2
30,0022000538,18,10,1,3,8,4,9,0,21,28,31,13,1
31,0022000522,15,9,2,8,7,2,8,0,23,24,32,17,2
32,0022000510,17,8,0,6,3,3,9,0,23,25,31,14,0
33,0022000490,33,7,1,4,4,5,11,0,37,40,44,11,1
34,0022000480,28,12,0,7,5,1,7,1,35,40,47,19,1
35,0022000470,35,15,1,6,3,4,7,0,41,50,56,21,1
36,0022000451,31,11,3,4,6,3,7,0,35,42,46,15,3
37,0022000438,40,8,2,3,8,4,9,0,43,48,51,11,2
38,0022000422,23,8,1,3,4,1,4,0,26,31,34,11,1
39,0022000407,15,14,0,1,3,0,0,0,16,29,30,15,0
40,0022000397,25,3,1,1,2,2,6,0,26,28,29,4,1
41,0022000384,25,15,1,7,3,4,11,1,32,40,47,22,2
42,0022000356,28,13,0,2,7,2,4,2,30,41,43,15,2
43,0022000330,21,9,1,4,4,3,8,0,25,30,34,13,1
44,0022000313,25,16,2,4,7,1,4,0,29,41,45,20,2
45,0022000290,41,5,0,3,2,5,9,0,44,46,49,8,0
46,0022000274,28,14,0,3,3,3,8,1,31,42,45,17,1
47,0022000268,38,5,1,3,3,3,7,0,41,43,46,8,1
48,0022000236,43,5,0,4,7,8,12,0,47,48,52,9,0
49,0022000219,38,10,2,4,2,3,5,1,42,48,52,14,3
50,0022000205,20,13,3,8,6,2,5,0,28,33,41,21,3
51,0022000195,26,11,0,7,5,1,9,0,33,37,44,18,0
52,0022000186,4,7,1,4,2,0,2,1,8,11,15,11,2
53,0022000153,26,8,1,3,0,3,7,0,29,34,37,11,1
54,0022000134,15,10,0,2,5,0,5,0,17,25,27,12,0
55,0022000110,7,3,1,5,7,0,3,0,12,10,15,8,1
56,0022000095,31,14,1,2,8,1,6,0,33,45,47,16,1
57,0022000083,16,10,1,4,6,2,5,0,20,26,30,14,1
58,0022000072,21,7,1,5,3,3,8,1,26,28,33,12,2
59,0022000057,30,11,0,6,5,0,4,0,36,41,47,17,0
60,0022000041,29,6,0,3,3,2,6,0,32,35,38,9,0
61,0022000021,36,9,0,3,2,1,7,0,39,45,48,12,0
62,0022000015,37,7,0,6,4,5,6,0,43,44,50,13,0
