,Game_ID,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK,PTS+REB,PTS+AST,PTS+REB+AST,REB+AST,BLKS+STLS
0,0022101221,28,11,0,5,5,4,7,0,33,39,44,16,0
1,0022101207,35,8,1,2,7,3,11,0,37,43,45,10,1
2,0022101192,30,11,0,2,3,3,9,0,32,41,43,13,0
3,0022101182,26,15,0,4,3,3,8,0,30,41,45,19,0
4,0022101163,36,10,0,6,3,4,9,0,42,46,52,16,0
5,0022100452,30,9,0,2,3,4,9,0,32,39,41,11,0
6,0022101143,41,8,1,2,3,4,12,0,43,49,51,10,1
7,0022101124,14,16,2,3,2,2,9,0,17,30,33,19,2
8,0022101102,33,15,2,4,3,4,9,0,37,48,52,19,2
9,0022101085,21,9,2,2,4,3,9,0,23,30,32,11,2
10,0022101081,45,8,1,1,4,7,15,0,46,53,54,9,1
11,0022101064,21,10,0,5,7,3,5,0,26,31,36,15,0
12,0022101033,9,15,3,3,6,0,6,0,12,24,27,18,3
13,0022101021,46,12,1,6,3,5,14,0,52,58,64,18,1
14,0022101016,47,5,2,3,4,7,10,0,50,52,55,8,2
15,0022100996,27,11,1,5,4,1,4,0,32,38,43,16,1
16,0022100984,27,11,1,3,2,3,9,1,30,38,41,14,2
17,0022100968,14,12,0,4,5,2,7,0,18,26,30,16,0
18,0022100948,25,8,0,4,2,3,11,0,29,33,37,12,0
19,0022100710,39,13,1,3,3,7,9,0,42,52,55,16,1
20,0022100927,31,6,0,2,2,2,7,0,33,37,39,8,0
21,0022100906,41,11,1,4,4,1,4,1,45,52,56,15,2
22,0022100891,14,10,0,3,4,0,5,0,17,24,27,13,0
23,0022100874,22,6,1,3,1,4,5,0,25,28,31,9,1
24,0022100867,41,9,1,3,4,4,7,0,44,50,53,12,1
25,0022100856,30,10,2,4,4,4,12,0,34,40,44,14,2
26,0022100841,18,11,1,4,5,2,8,0,22,29,33,15,1
27,0022100816,34,11,0,1,5,6,9,1,35,45,46,12,1
28,0022100807,17,11,0,2,4,0,6,0,19,28,30,13,0
29,0022100790,22,13,0,6,1,0,4,0,28,35,41,19,0
30,0022100783,43,5,1,0,4,6,10,0,43,48,48,5,1
31,0022100751,36,12,0,5,6,4,10,0,41,48,53,17,0
32,0022100737,21,5,2,9,5,2,9,0,30,26,35,14,2
33,0022100725,17,10,4,3,4,3,8,0,20,27,30,13,4
34,0022100703,30,4,1,4,2,8,15,0,34,34,38,8,1
35,0022100687,28,7,1,3,8,4,11,0,31,35,38,10,1
36,0022100670,37,14,1,5,5,6,10,0,42,51,56,19,1
37,0022100660,30,11,1,4,3,2,6,0,34,41,45,15,1
38,0022100643,29,5,3,3,4,4,12,0,32,34,37,8,3
39,0022100636,24,9,0,3,4,3,7,0,27,33,36,12,0
40,0022100621,15,5,1,3,4,1,6,0,18,20,23,8,1
41,0022100597,19,7,2,3,3,1,6,1,22,26,29,10,3
42,0022100589,25,14,0,9,9,1,7,0,34,39,48,23,0
43,0022100560,56,14,0,4,4,7,12,0,60,70,74,18,0
44,0022100533,35,11,1,4,1,5,12,0,39,46,50,15,1
45,0022100519,26,11,0,3,7,2,7,0,29,37,40,14,0
46,0022100502,29,9,0,1,2,1,6,0,30,38,39,10,0
47,0022100434,34,10,2,3,4,1,6,0,37,44,47,13,2
48,0022100418,28,4,2,4,1,1,8,0,32,32,36,8,2
49,0022100407,41,9,1,4,7,5,9,0,45,50,54,13,1
50,0022100384,31,10,2,7,7,2,8,0,38,41,48,17,2
51,0022100359,29,11,2,7,5,4,9,0,36,40,47,18,2
52,0022100350,25,15,1,4,6,4,10,0,29,40,44,19,1
53,0022100335,25,10,0,4,4,2,5,1,29,35,39,14,1
54,0022100319,33,10,2,8,4,3,10,0,41,43,51,18,2
55,0022100293,33,7,0,4,3,5,10,0,37,40,44,11,0
56,0022100285,31,10,0,1,4,3,4,0,32,41,42,11,0
57,0022100277,31,11,2,7,2,2,6,0,38,42,49,18,2
58,0022100255,30,6,1,4,2,5,9,0,34,36,40,10,1
59,0022100242,19,9,1,4,4,2,7,0,23,28,32,13,1
60,0022100215,18,11,1,0,6,0,6,0,18,29,29,11,1
61,0022100202,23,6,1,4,5,3,7,0,27,29,33,10,1
62,0022100193,42,10,1,8,5,8,13,0,50,52,60,18,1
63,0022100182,30,9,1,5,5,3,5,0,35,39,44,14,1
64,0022100156,27,6,1,0,6,5,11,0,27,33,33,6,1
65,0022100152,28,9,1,3,4,4,8,0,31,37,40,12,1
66,0022100137,31,13,0,2,6,4,9,0,33,44,46,15,0
67,0022100120,21,7,1,4,2,0,4,1,25,28,32,11,2
68,0022100113,21,10,0,9,2,2,6,0,30,31,40,19,0
69,0022100097,26,6,1,4,6,1,6,0,30,32,36,10,1
70,0022100082,13,10,0,2,3,1,4,0,15,23,25,12,0
71,0022100066,15,13,2,3,3,1,5,1,18,28,31,16,3
72,0022100059,31,7,0,5,3,2,6,0,36,38,43,12,0
73,0022100043,32,9,1,4,2,2,5,0,36,41,45,13,1
74,0022100027,24,7,3,1,2,1,6,0,25,31,32,8,3
75,0022100014,19,14,0,2,5,2,5,0,21,33,35,16,0
